
Bathroom, Shower, 09/27/2022 08:00:00, 0 gallons total, production
Bathroom, Shower, 09/27/2022 10:10:00, 80.0 gallons total, production

Bathroom, Bath, 09/27/2022 11:00:00, 80.0 gallons total, production
Bathroom, Bath, 09/27/2022 11:00:30, 81.25 gallons total, production
Bathroom, Bath, 09/27/2022 11:01:00, 82.5 gallons total, production
Bathroom, Bath, 09/27/2022 11:01:30, 83.75 gallons total, production
Bathroom, Bath, 09/27/2022 11:02:00, 85.0 gallons total, production
Bathroom, Bath, 09/27/2022 11:02:30, 86.25 gallons total, production
Bathroom, Bath, 09/27/2022 11:03:00, 87.5 gallons total, production
Bathroom, Bath, 09/27/2022 11:03:30, 88.75 gallons total, production
Bathroom, Bath, 09/27/2022 11:04:00, 90.0 gallons total, production
Bathroom, Bath, 09/27/2022 11:04:30, 91.25 gallons total, production
Bathroom, Bath, 09/27/2022 11:05:00, 92.5 gallons total, production
Bathroom, Bath, 09/27/2022 11:05:30, 93.75 gallons total, production
Bathroom, Bath, 09/27/2022 11:06:00, 95.0 gallons total, production
Bathroom, Bath, 09/27/2022 11:06:30, 96.25 gallons total, production
Bathroom, Bath, 09/27/2022 11:07:00, 97.5 gallons total, production
Bathroom, Bath, 09/27/2022 11:07:30, 98.75 gallons total, production
Bathroom, Bath, 09/27/2022 11:08:00, 100.0 gallons total, production
Bathroom, Bath, 09/27/2022 11:08:30, 101.25 gallons total, production
Bathroom, Bath, 09/27/2022 11:09:00, 102.5 gallons total, production
Bathroom, Bath, 09/27/2022 11:09:30, 103.75 gallons total, production
Bathroom, Bath, 09/27/2022 11:10:00, 105.0 gallons total, production
Bathroom, Bath, 09/27/2022 11:10:30, 106.25 gallons total, production
Bathroom, Bath, 09/27/2022 11:11:00, 107.5 gallons total, production
Bathroom, Bath, 09/27/2022 11:11:30, 108.75 gallons total, production
Bathroom, Bath, 09/27/2022 11:12:00, 110.0 gallons total, production

Bathroom, Shower, 09/28/2022 08:00:00, 110.0 gallons total, production
Bathroom, Shower, 09/28/2022 08:00:30, 111.25 gallons total, production
Bathroom, Shower, 09/28/2022 08:01:00, 112.5 gallons total, production
Bathroom, Shower, 09/28/2022 08:01:30, 113.75 gallons total, production
Bathroom, Shower, 09/28/2022 08:02:00, 115.0 gallons total, production
Bathroom, Shower, 09/28/2022 08:02:30, 116.25 gallons total, production
Bathroom, Shower, 09/28/2022 08:03:00, 117.5 gallons total, production
Bathroom, Shower, 09/28/2022 08:03:30, 118.75 gallons total, production
Bathroom, Shower, 09/28/2022 08:04:00, 120.0 gallons total, production
Bathroom, Shower, 09/28/2022 08:04:30, 121.25 gallons total, production
Bathroom, Shower, 09/28/2022 08:05:00, 122.5 gallons total, production
Bathroom, Shower, 09/28/2022 08:05:30, 123.75 gallons total, production
Bathroom, Shower, 09/28/2022 08:06:00, 125.0 gallons total, production
Bathroom, Shower, 09/28/2022 08:06:30, 126.25 gallons total, production
Bathroom, Shower, 09/28/2022 08:07:00, 127.5 gallons total, production
Bathroom, Shower, 09/28/2022 08:07:30, 128.75 gallons total, production
Bathroom, Shower, 09/28/2022 08:08:00, 130.0 gallons total, production
Bathroom, Shower, 09/28/2022 08:08:30, 131.25 gallons total, production
Bathroom, Shower, 09/28/2022 08:09:00, 132.5 gallons total, production
Bathroom, Shower, 09/28/2022 08:09:30, 133.75 gallons total, production
Bathroom, Shower, 09/28/2022 08:10:00, 135.0 gallons total, production

Bathroom, Bath, 09/28/2022 09:00:00, 135.0 gallons total, production
Bathroom, Bath, 09/28/2022 09:00:30, 136.25 gallons total, production
Bathroom, Bath, 09/28/2022 09:01:00, 137.5 gallons total, production
Bathroom, Bath, 09/28/2022 09:01:30, 138.75 gallons total, production
Bathroom, Bath, 09/28/2022 09:02:00, 140.0 gallons total, production
Bathroom, Bath, 09/28/2022 09:02:30, 141.25 gallons total, production
Bathroom, Bath, 09/28/2022 09:03:00, 142.5 gallons total, production
Bathroom, Bath, 09/28/2022 09:03:30, 143.75 gallons total, production
Bathroom, Bath, 09/28/2022 09:04:00, 145.0 gallons total, production
Bathroom, Bath, 09/28/2022 09:04:30, 146.25 gallons total, production
Bathroom, Bath, 09/28/2022 09:05:00, 147.5 gallons total, production
Bathroom, Bath, 09/28/2022 09:05:30, 148.75 gallons total, production
Bathroom, Bath, 09/28/2022 09:06:00, 150.0 gallons total, production
Bathroom, Bath, 09/28/2022 09:06:30, 151.25 gallons total, production
Bathroom, Bath, 09/28/2022 09:07:00, 152.5 gallons total, production
Bathroom, Bath, 09/28/2022 09:07:30, 153.75 gallons total, production
Bathroom, Bath, 09/28/2022 09:08:00, 155.0 gallons total, production
Bathroom, Bath, 09/28/2022 09:08:30, 156.25 gallons total, production
Bathroom, Bath, 09/28/2022 09:09:00, 157.5 gallons total, production
Bathroom, Bath, 09/28/2022 09:09:30, 158.75 gallons total, production
Bathroom, Bath, 09/28/2022 09:10:00, 160.0 gallons total, production
Bathroom, Bath, 09/28/2022 09:10:30, 161.25 gallons total, production
Bathroom, Bath, 09/28/2022 09:11:00, 162.5 gallons total, production
Bathroom, Bath, 09/28/2022 09:11:30, 163.75 gallons total, production
Bathroom, Bath, 09/28/2022 09:12:00, 165.0 gallons total, production

Bathroom, Shower, 09/28/2022 10:00:00, 165.0 gallons total, production
Bathroom, Shower, 09/28/2022 10:00:30, 166.25 gallons total, production
Bathroom, Shower, 09/28/2022 10:01:00, 167.5 gallons total, production
Bathroom, Shower, 09/28/2022 10:01:30, 168.75 gallons total, production
Bathroom, Shower, 09/28/2022 10:02:00, 170.0 gallons total, production
Bathroom, Shower, 09/28/2022 10:02:30, 171.25 gallons total, production
Bathroom, Shower, 09/28/2022 10:03:00, 172.5 gallons total, production
Bathroom, Shower, 09/28/2022 10:03:30, 173.75 gallons total, production
Bathroom, Shower, 09/28/2022 10:04:00, 175.0 gallons total, production
Bathroom, Shower, 09/28/2022 10:04:30, 176.25 gallons total, production
Bathroom, Shower, 09/28/2022 10:05:00, 177.5 gallons total, production
Bathroom, Shower, 09/28/2022 10:05:30, 178.75 gallons total, production
Bathroom, Shower, 09/28/2022 10:06:00, 180.0 gallons total, production
Bathroom, Shower, 09/28/2022 10:06:30, 181.25 gallons total, production
Bathroom, Shower, 09/28/2022 10:07:00, 182.5 gallons total, production
Bathroom, Shower, 09/28/2022 10:07:30, 183.75 gallons total, production
Bathroom, Shower, 09/28/2022 10:08:00, 185.0 gallons total, production
Bathroom, Shower, 09/28/2022 10:08:30, 186.25 gallons total, production
Bathroom, Shower, 09/28/2022 10:09:00, 187.5 gallons total, production
Bathroom, Shower, 09/28/2022 10:09:30, 188.75 gallons total, production
Bathroom, Shower, 09/28/2022 10:10:00, 190.0 gallons total, production

Bathroom, Bath, 09/28/2022 11:00:00, 190.0 gallons total, production
Bathroom, Bath, 09/28/2022 11:00:30, 191.25 gallons total, production
Bathroom, Bath, 09/28/2022 11:01:00, 192.5 gallons total, production
Bathroom, Bath, 09/28/2022 11:01:30, 193.75 gallons total, production
Bathroom, Bath, 09/28/2022 11:02:00, 195.0 gallons total, production
Bathroom, Bath, 09/28/2022 11:02:30, 196.25 gallons total, production
Bathroom, Bath, 09/28/2022 11:03:00, 197.5 gallons total, production
Bathroom, Bath, 09/28/2022 11:03:30, 198.75 gallons total, production
Bathroom, Bath, 09/28/2022 11:04:00, 200.0 gallons total, production
Bathroom, Bath, 09/28/2022 11:04:30, 201.25 gallons total, production
Bathroom, Bath, 09/28/2022 11:05:00, 202.5 gallons total, production
Bathroom, Bath, 09/28/2022 11:05:30, 203.75 gallons total, production
Bathroom, Bath, 09/28/2022 11:06:00, 205.0 gallons total, production
Bathroom, Bath, 09/28/2022 11:06:30, 206.25 gallons total, production
Bathroom, Bath, 09/28/2022 11:07:00, 207.5 gallons total, production
Bathroom, Bath, 09/28/2022 11:07:30, 208.75 gallons total, production
Bathroom, Bath, 09/28/2022 11:08:00, 210.0 gallons total, production
Bathroom, Bath, 09/28/2022 11:08:30, 211.25 gallons total, production
Bathroom, Bath, 09/28/2022 11:09:00, 212.5 gallons total, production
Bathroom, Bath, 09/28/2022 11:09:30, 213.75 gallons total, production
Bathroom, Bath, 09/28/2022 11:10:00, 215.0 gallons total, production
Bathroom, Bath, 09/28/2022 11:10:30, 216.25 gallons total, production
Bathroom, Bath, 09/28/2022 11:11:00, 217.5 gallons total, production
Bathroom, Bath, 09/28/2022 11:11:30, 218.75 gallons total, production
Bathroom, Bath, 09/28/2022 11:12:00, 220.0 gallons total, production

Bathroom, Shower, 09/29/2022 08:00:00, 220.0 gallons total, production
Bathroom, Shower, 09/29/2022 08:00:30, 221.25 gallons total, production
Bathroom, Shower, 09/29/2022 08:01:00, 222.5 gallons total, production
Bathroom, Shower, 09/29/2022 08:01:30, 223.75 gallons total, production
Bathroom, Shower, 09/29/2022 08:02:00, 225.0 gallons total, production
Bathroom, Shower, 09/29/2022 08:02:30, 226.25 gallons total, production
Bathroom, Shower, 09/29/2022 08:03:00, 227.5 gallons total, production
Bathroom, Shower, 09/29/2022 08:03:30, 228.75 gallons total, production
Bathroom, Shower, 09/29/2022 08:04:00, 230.0 gallons total, production
Bathroom, Shower, 09/29/2022 08:04:30, 231.25 gallons total, production
Bathroom, Shower, 09/29/2022 08:05:00, 232.5 gallons total, production
Bathroom, Shower, 09/29/2022 08:05:30, 233.75 gallons total, production
Bathroom, Shower, 09/29/2022 08:06:00, 235.0 gallons total, production
Bathroom, Shower, 09/29/2022 08:06:30, 236.25 gallons total, production
Bathroom, Shower, 09/29/2022 08:07:00, 237.5 gallons total, production
Bathroom, Shower, 09/29/2022 08:07:30, 238.75 gallons total, production
Bathroom, Shower, 09/29/2022 08:08:00, 240.0 gallons total, production
Bathroom, Shower, 09/29/2022 08:08:30, 241.25 gallons total, production
Bathroom, Shower, 09/29/2022 08:09:00, 242.5 gallons total, production
Bathroom, Shower, 09/29/2022 08:09:30, 243.75 gallons total, production
Bathroom, Shower, 09/29/2022 08:10:00, 245.0 gallons total, production

Bathroom, Bath, 09/29/2022 09:00:00, 245.0 gallons total, production
Bathroom, Bath, 09/29/2022 09:00:30, 246.25 gallons total, production
Bathroom, Bath, 09/29/2022 09:01:00, 247.5 gallons total, production
Bathroom, Bath, 09/29/2022 09:01:30, 248.75 gallons total, production
Bathroom, Bath, 09/29/2022 09:02:00, 250.0 gallons total, production
Bathroom, Bath, 09/29/2022 09:02:30, 251.25 gallons total, production
Bathroom, Bath, 09/29/2022 09:03:00, 252.5 gallons total, production
Bathroom, Bath, 09/29/2022 09:03:30, 253.75 gallons total, production
Bathroom, Bath, 09/29/2022 09:04:00, 255.0 gallons total, production
Bathroom, Bath, 09/29/2022 09:04:30, 256.25 gallons total, production
Bathroom, Bath, 09/29/2022 09:05:00, 257.5 gallons total, production
Bathroom, Bath, 09/29/2022 09:05:30, 258.75 gallons total, production
Bathroom, Bath, 09/29/2022 09:06:00, 260.0 gallons total, production
Bathroom, Bath, 09/29/2022 09:06:30, 261.25 gallons total, production
Bathroom, Bath, 09/29/2022 09:07:00, 262.5 gallons total, production
Bathroom, Bath, 09/29/2022 09:07:30, 263.75 gallons total, production
Bathroom, Bath, 09/29/2022 09:08:00, 265.0 gallons total, production
Bathroom, Bath, 09/29/2022 09:08:30, 266.25 gallons total, production
Bathroom, Bath, 09/29/2022 09:09:00, 267.5 gallons total, production
Bathroom, Bath, 09/29/2022 09:09:30, 268.75 gallons total, production
Bathroom, Bath, 09/29/2022 09:10:00, 270.0 gallons total, production
Bathroom, Bath, 09/29/2022 09:10:30, 271.25 gallons total, production
Bathroom, Bath, 09/29/2022 09:11:00, 272.5 gallons total, production
Bathroom, Bath, 09/29/2022 09:11:30, 273.75 gallons total, production
Bathroom, Bath, 09/29/2022 09:12:00, 275.0 gallons total, production

Bathroom, Shower, 09/29/2022 10:00:00, 275.0 gallons total, production
Bathroom, Shower, 09/29/2022 10:00:30, 276.25 gallons total, production
Bathroom, Shower, 09/29/2022 10:01:00, 277.5 gallons total, production
Bathroom, Shower, 09/29/2022 10:01:30, 278.75 gallons total, production
Bathroom, Shower, 09/29/2022 10:02:00, 280.0 gallons total, production
Bathroom, Shower, 09/29/2022 10:02:30, 281.25 gallons total, production
Bathroom, Shower, 09/29/2022 10:03:00, 282.5 gallons total, production
Bathroom, Shower, 09/29/2022 10:03:30, 283.75 gallons total, production
Bathroom, Shower, 09/29/2022 10:04:00, 285.0 gallons total, production
Bathroom, Shower, 09/29/2022 10:04:30, 286.25 gallons total, production
Bathroom, Shower, 09/29/2022 10:05:00, 287.5 gallons total, production
Bathroom, Shower, 09/29/2022 10:05:30, 288.75 gallons total, production
Bathroom, Shower, 09/29/2022 10:06:00, 290.0 gallons total, production
Bathroom, Shower, 09/29/2022 10:06:30, 291.25 gallons total, production
Bathroom, Shower, 09/29/2022 10:07:00, 292.5 gallons total, production
Bathroom, Shower, 09/29/2022 10:07:30, 293.75 gallons total, production
Bathroom, Shower, 09/29/2022 10:08:00, 295.0 gallons total, production
Bathroom, Shower, 09/29/2022 10:08:30, 296.25 gallons total, production
Bathroom, Shower, 09/29/2022 10:09:00, 297.5 gallons total, production
Bathroom, Shower, 09/29/2022 10:09:30, 298.75 gallons total, production
Bathroom, Shower, 09/29/2022 10:10:00, 300.0 gallons total, production

Bathroom, Bath, 09/29/2022 11:00:00, 300.0 gallons total, production
Bathroom, Bath, 09/29/2022 11:00:30, 301.25 gallons total, production
Bathroom, Bath, 09/29/2022 11:01:00, 302.5 gallons total, production
Bathroom, Bath, 09/29/2022 11:01:30, 303.75 gallons total, production
Bathroom, Bath, 09/29/2022 11:02:00, 305.0 gallons total, production
Bathroom, Bath, 09/29/2022 11:02:30, 306.25 gallons total, production
Bathroom, Bath, 09/29/2022 11:03:00, 307.5 gallons total, production
Bathroom, Bath, 09/29/2022 11:03:30, 308.75 gallons total, production
Bathroom, Bath, 09/29/2022 11:04:00, 310.0 gallons total, production
Bathroom, Bath, 09/29/2022 11:04:30, 311.25 gallons total, production
Bathroom, Bath, 09/29/2022 11:05:00, 312.5 gallons total, production
Bathroom, Bath, 09/29/2022 11:05:30, 313.75 gallons total, production
Bathroom, Bath, 09/29/2022 11:06:00, 315.0 gallons total, production
Bathroom, Bath, 09/29/2022 11:06:30, 316.25 gallons total, production
Bathroom, Bath, 09/29/2022 11:07:00, 317.5 gallons total, production
Bathroom, Bath, 09/29/2022 11:07:30, 318.75 gallons total, production
Bathroom, Bath, 09/29/2022 11:08:00, 320.0 gallons total, production
Bathroom, Bath, 09/29/2022 11:08:30, 321.25 gallons total, production
Bathroom, Bath, 09/29/2022 11:09:00, 322.5 gallons total, production
Bathroom, Bath, 09/29/2022 11:09:30, 323.75 gallons total, production
Bathroom, Bath, 09/29/2022 11:10:00, 325.0 gallons total, production
Bathroom, Bath, 09/29/2022 11:10:30, 326.25 gallons total, production
Bathroom, Bath, 09/29/2022 11:11:00, 327.5 gallons total, production
Bathroom, Bath, 09/29/2022 11:11:30, 328.75 gallons total, production
Bathroom, Bath, 09/29/2022 11:12:00, 330.0 gallons total, production

Bathroom, Shower, 09/30/2022 08:00:00, 330.0 gallons total, production
Bathroom, Shower, 09/30/2022 08:00:30, 331.25 gallons total, production
Bathroom, Shower, 09/30/2022 08:01:00, 332.5 gallons total, production
Bathroom, Shower, 09/30/2022 08:01:30, 333.75 gallons total, production
Bathroom, Shower, 09/30/2022 08:02:00, 335.0 gallons total, production
Bathroom, Shower, 09/30/2022 08:02:30, 336.25 gallons total, production
Bathroom, Shower, 09/30/2022 08:03:00, 337.5 gallons total, production
Bathroom, Shower, 09/30/2022 08:03:30, 338.75 gallons total, production
Bathroom, Shower, 09/30/2022 08:04:00, 340.0 gallons total, production
Bathroom, Shower, 09/30/2022 08:04:30, 341.25 gallons total, production
Bathroom, Shower, 09/30/2022 08:05:00, 342.5 gallons total, production
Bathroom, Shower, 09/30/2022 08:05:30, 343.75 gallons total, production
Bathroom, Shower, 09/30/2022 08:06:00, 345.0 gallons total, production
Bathroom, Shower, 09/30/2022 08:06:30, 346.25 gallons total, production
Bathroom, Shower, 09/30/2022 08:07:00, 347.5 gallons total, production
Bathroom, Shower, 09/30/2022 08:07:30, 348.75 gallons total, production
Bathroom, Shower, 09/30/2022 08:08:00, 350.0 gallons total, production
Bathroom, Shower, 09/30/2022 08:08:30, 351.25 gallons total, production
Bathroom, Shower, 09/30/2022 08:09:00, 352.5 gallons total, production
Bathroom, Shower, 09/30/2022 08:09:30, 353.75 gallons total, production
Bathroom, Shower, 09/30/2022 08:10:00, 355.0 gallons total, production

Bathroom, Bath, 09/30/2022 09:00:00, 355.0 gallons total, production
Bathroom, Bath, 09/30/2022 09:00:30, 356.25 gallons total, production
Bathroom, Bath, 09/30/2022 09:01:00, 357.5 gallons total, production
Bathroom, Bath, 09/30/2022 09:01:30, 358.75 gallons total, production
Bathroom, Bath, 09/30/2022 09:02:00, 360.0 gallons total, production
Bathroom, Bath, 09/30/2022 09:02:30, 361.25 gallons total, production
Bathroom, Bath, 09/30/2022 09:03:00, 362.5 gallons total, production
Bathroom, Bath, 09/30/2022 09:03:30, 363.75 gallons total, production
Bathroom, Bath, 09/30/2022 09:04:00, 365.0 gallons total, production
Bathroom, Bath, 09/30/2022 09:04:30, 366.25 gallons total, production
Bathroom, Bath, 09/30/2022 09:05:00, 367.5 gallons total, production
Bathroom, Bath, 09/30/2022 09:05:30, 368.75 gallons total, production
Bathroom, Bath, 09/30/2022 09:06:00, 370.0 gallons total, production
Bathroom, Bath, 09/30/2022 09:06:30, 371.25 gallons total, production
Bathroom, Bath, 09/30/2022 09:07:00, 372.5 gallons total, production
Bathroom, Bath, 09/30/2022 09:07:30, 373.75 gallons total, production
Bathroom, Bath, 09/30/2022 09:08:00, 375.0 gallons total, production
Bathroom, Bath, 09/30/2022 09:08:30, 376.25 gallons total, production
Bathroom, Bath, 09/30/2022 09:09:00, 377.5 gallons total, production
Bathroom, Bath, 09/30/2022 09:09:30, 378.75 gallons total, production
Bathroom, Bath, 09/30/2022 09:10:00, 380.0 gallons total, production
Bathroom, Bath, 09/30/2022 09:10:30, 381.25 gallons total, production
Bathroom, Bath, 09/30/2022 09:11:00, 382.5 gallons total, production
Bathroom, Bath, 09/30/2022 09:11:30, 383.75 gallons total, production
Bathroom, Bath, 09/30/2022 09:12:00, 385.0 gallons total, production

Bathroom, Shower, 09/30/2022 10:00:00, 385.0 gallons total, production
Bathroom, Shower, 09/30/2022 10:00:30, 386.25 gallons total, production
Bathroom, Shower, 09/30/2022 10:01:00, 387.5 gallons total, production
Bathroom, Shower, 09/30/2022 10:01:30, 388.75 gallons total, production
Bathroom, Shower, 09/30/2022 10:02:00, 390.0 gallons total, production
Bathroom, Shower, 09/30/2022 10:02:30, 391.25 gallons total, production
Bathroom, Shower, 09/30/2022 10:03:00, 392.5 gallons total, production
Bathroom, Shower, 09/30/2022 10:03:30, 393.75 gallons total, production
Bathroom, Shower, 09/30/2022 10:04:00, 395.0 gallons total, production
Bathroom, Shower, 09/30/2022 10:04:30, 396.25 gallons total, production
Bathroom, Shower, 09/30/2022 10:05:00, 397.5 gallons total, production
Bathroom, Shower, 09/30/2022 10:05:30, 398.75 gallons total, production
Bathroom, Shower, 09/30/2022 10:06:00, 400.0 gallons total, production
Bathroom, Shower, 09/30/2022 10:06:30, 401.25 gallons total, production
Bathroom, Shower, 09/30/2022 10:07:00, 402.5 gallons total, production
Bathroom, Shower, 09/30/2022 10:07:30, 403.75 gallons total, production
Bathroom, Shower, 09/30/2022 10:08:00, 405.0 gallons total, production
Bathroom, Shower, 09/30/2022 10:08:30, 406.25 gallons total, production
Bathroom, Shower, 09/30/2022 10:09:00, 407.5 gallons total, production
Bathroom, Shower, 09/30/2022 10:09:30, 408.75 gallons total, production
Bathroom, Shower, 09/30/2022 10:10:00, 410.0 gallons total, production

Bathroom, Bath, 09/30/2022 11:00:00, 410.0 gallons total, production
Bathroom, Bath, 09/30/2022 11:00:30, 411.25 gallons total, production
Bathroom, Bath, 09/30/2022 11:01:00, 412.5 gallons total, production
Bathroom, Bath, 09/30/2022 11:01:30, 413.75 gallons total, production
Bathroom, Bath, 09/30/2022 11:02:00, 415.0 gallons total, production
Bathroom, Bath, 09/30/2022 11:02:30, 416.25 gallons total, production
Bathroom, Bath, 09/30/2022 11:03:00, 417.5 gallons total, production
Bathroom, Bath, 09/30/2022 11:03:30, 418.75 gallons total, production
Bathroom, Bath, 09/30/2022 11:04:00, 420.0 gallons total, production
Bathroom, Bath, 09/30/2022 11:04:30, 421.25 gallons total, production
Bathroom, Bath, 09/30/2022 11:05:00, 422.5 gallons total, production
Bathroom, Bath, 09/30/2022 11:05:30, 423.75 gallons total, production
Bathroom, Bath, 09/30/2022 11:06:00, 425.0 gallons total, production
Bathroom, Bath, 09/30/2022 11:06:30, 426.25 gallons total, production
Bathroom, Bath, 09/30/2022 11:07:00, 427.5 gallons total, production
Bathroom, Bath, 09/30/2022 11:07:30, 428.75 gallons total, production
Bathroom, Bath, 09/30/2022 11:08:00, 430.0 gallons total, production
Bathroom, Bath, 09/30/2022 11:08:30, 431.25 gallons total, production
Bathroom, Bath, 09/30/2022 11:09:00, 432.5 gallons total, production
Bathroom, Bath, 09/30/2022 11:09:30, 433.75 gallons total, production
Bathroom, Bath, 09/30/2022 11:10:00, 435.0 gallons total, production
Bathroom, Bath, 09/30/2022 11:10:30, 436.25 gallons total, production
Bathroom, Bath, 09/30/2022 11:11:00, 437.5 gallons total, production
Bathroom, Bath, 09/30/2022 11:11:30, 438.75 gallons total, production
Bathroom, Bath, 09/30/2022 11:12:00, 440.0 gallons total, production

Bathroom, Shower, 10/01/2022 08:00:00, 440.0 gallons total, production
Bathroom, Shower, 10/01/2022 08:00:30, 441.25 gallons total, production
Bathroom, Shower, 10/01/2022 08:01:00, 442.5 gallons total, production
Bathroom, Shower, 10/01/2022 08:01:30, 443.75 gallons total, production
Bathroom, Shower, 10/01/2022 08:02:00, 445.0 gallons total, production
Bathroom, Shower, 10/01/2022 08:02:30, 446.25 gallons total, production
Bathroom, Shower, 10/01/2022 08:03:00, 447.5 gallons total, production
Bathroom, Shower, 10/01/2022 08:03:30, 448.75 gallons total, production
Bathroom, Shower, 10/01/2022 08:04:00, 450.0 gallons total, production
Bathroom, Shower, 10/01/2022 08:04:30, 451.25 gallons total, production
Bathroom, Shower, 10/01/2022 08:05:00, 452.5 gallons total, production
Bathroom, Shower, 10/01/2022 08:05:30, 453.75 gallons total, production
Bathroom, Shower, 10/01/2022 08:06:00, 455.0 gallons total, production
Bathroom, Shower, 10/01/2022 08:06:30, 456.25 gallons total, production
Bathroom, Shower, 10/01/2022 08:07:00, 457.5 gallons total, production
Bathroom, Shower, 10/01/2022 08:07:30, 458.75 gallons total, production
Bathroom, Shower, 10/01/2022 08:08:00, 460.0 gallons total, production
Bathroom, Shower, 10/01/2022 08:08:30, 461.25 gallons total, production
Bathroom, Shower, 10/01/2022 08:09:00, 462.5 gallons total, production
